Model,Creator,License,"Context
 Window","Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 43,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,cache_read_gpqa,cache_output_gpqa,reasoning tokens,total_tokens_?,input tokens swe,output tokens swe,cache reads swe,cache write,total,epoch_swe,Unnamed: 58,Unnamed: 59,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD
Claude 4 Opus 05/01/2025,Anthropic,Proprietary,200k,,86.00%,70.10%,5.90%,54.20%,40.90%,,94.10%,,,,,,,,,,,,,,,,,,,,05/01/2025,,,,,False,,,64050.0,443415.0,76.30%,,,,,107000.0,4260000.0,416000000.0,17000000.0,437000000.0,62.20%,,,15.0,75.0,34.216874999999995
Claude 4 Sonnet 05/01/2025,Anthropic,Proprietary,200k,,83.70%,68.30%,4.00%,44.90%,37.30%,,93.40%,,,,,,,,,,,,,,,,,,,,05/01/2025,,,,,False,,,58506.0,136882.0,66.70%,,,,,115000.0,4580000.0,461000000.0,18600000.0,,60.60%,,,3.0,15.0,2.228748
GPT-5 (medium) 08/01/2025,OpenAI,Proprietary,,6750.00%,86.70%,84.20%,23.50%,69.60%,41.10%,,99.10%,,,,,,,,,,,,,,,,,,,,08/01/2025,,,,,,,,410966.0,5940538.0,85.40%,2816.0,,,,349000000.0,9000000.0,161000000.0,,,58.80%,,,1.25,10.0,59.9190875
Claude 3.7 Sonnet 04/01/2025,,Proprietary,200k,48,80%,66%,5%,39%,38%,96%,85%,22%,,,,76.0,49.3,66.8,78.9,81.6,1.12,1.12,0.72,0.89,1.48,2.54,7.7,0.0,,ModelProviders,04/01/2025,,,,,,epoch does notdistinguish claude thinking vs not,,468048.0,927915.0,66.00%,,,,,77585.0,3125503.0,330964674.0,15537148.0,,52.20%,,,2.0,8.0,8.359416
DeepSeek R1 0528 (May '25) 06/01/2025,DeepSeek,Open,128k,,84.90%,81.30%,14.90%,77.00%,40.30%,,98.30%,,,,,,,,,,,,,,,,,,True,,06/01/2025,685.0,37.0,,,True,,,392072.0,16283583.0,76.30%,,,,,108000000.0,7670000.0,97100000.0,,,33.30%,,,0.5,2.15,35.205739449999996
DeepSeek R1 0528 (May '25) 09/01/2025,DeepSeek,Open,128k,,84.90%,81.30%,14.90%,77.00%,40.30%,,98.30%,,,,,,,,,,,,,,,,,,True,,09/01/2025,685.0,37.0,,,True,,,392072.0,16283583.0,76.30%,,,,,108000000.0,7670000.0,97100000.0,,,33.30%,,,0.46,0.74,12.230204539999999
GPT-4.1 mini 04/01/2025,,Proprietary,1m,53,78%,66%,5%,48%,40%,99%,93%,43%,,,,168.5,78.9,109.2,224.1,263,0.42,0.42,0.28,0.36,0.53,0.68,3.39,0.0,,ModelProviders,04/01/2025,,,,,,,,412872.0,1564579.0,65.80%,8448.0,,,,196000000.0,1490000.0,107000000.0,,,32.80%,,,0.4,1.6,2.6684751999999996
GPT-4o (Nov '24) 11/01/2024,,Proprietary,128k,41,75%,54%,3%,31%,33%,90%,76%,15%,84%,1361.0,,144.3,62.0,115.8,161.6,185.3,0.56,0.56,0.48,0.51,0.62,0.74,4.02,0.0,,ModelProviders,11/01/2024,,,,,,,,825712.0,2344886.0,47.90%,,,,,259000000.0,1260000.0,221000000.0,,260000000.0,25.40%,,,2.5,10.0,25.51314
Gemini 2.0 Flash 02/01/2025,,Proprietary,1m,48,78%,62%,5%,33%,31%,95%,93%,33%,,,,242.0,228.9,236.0,255.8,267.4,0.33,0.33,0.26,0.3,0.38,0.41,2.4,0.0,,ModelProviders,02/01/2025,,,,,,,,806400.0,1940000.0,64.10%,,,,,234994473.0,1407067.0,,,241401540.0,22.00%,,,0.1,0.4,0.8566400000000001
Kimi K2 07/01/2025,Moonshot AI,Open,,4860.00%,82.40%,76.60%,7.00%,55.60%,17.50%,,97.10%,,,,,,,,,,,,,,,,,,,,07/01/2025,,,,,,,,431696.0,2397106.0,54.60%,,,,,301000000.0,2980000.0,,,,16.40%,,,0.57,2.3,5.759410519999999
